... building the model
... training
p=0.700000
epoch 219, minibatch 3296/3296, validation error 14.275956 %
     epoch 219, minibatch 3296/3296, test error of best model 15.734051 %
epoch 220, minibatch 3296/3296, validation error 14.781421 %
epoch 221, minibatch 3296/3296, validation error 14.631148 %
epoch 222, minibatch 3296/3296, validation error 14.590164 %
epoch 223, minibatch 3296/3296, validation error 14.863388 %
epoch 224, minibatch 3296/3296, validation error 14.084699 %
     epoch 224, minibatch 3296/3296, test error of best model 15.722521 %
epoch 225, minibatch 3296/3296, validation error 14.863388 %
epoch 226, minibatch 3296/3296, validation error 14.357923 %
epoch 227, minibatch 3296/3296, validation error 14.549180 %
epoch 228, minibatch 3296/3296, validation error 13.920765 %
     epoch 228, minibatch 3296/3296, test error of best model 15.584166 %
epoch 229, minibatch 3296/3296, validation error 14.412568 %
epoch 230, minibatch 3296/3296, validation error 14.617486 %
epoch 231, minibatch 3296/3296, validation error 15.081967 %
epoch 232, minibatch 3296/3296, validation error 14.918033 %
epoch 233, minibatch 3296/3296, validation error 14.699454 %
epoch 234, minibatch 3296/3296, validation error 15.122951 %
epoch 235, minibatch 3296/3296, validation error 14.508197 %
epoch 236, minibatch 3296/3296, validation error 14.125683 %
epoch 237, minibatch 3296/3296, validation error 14.590164 %
epoch 238, minibatch 3296/3296, validation error 14.385246 %
epoch 239, minibatch 3296/3296, validation error 14.631148 %
epoch 240, minibatch 3296/3296, validation error 14.467213 %
epoch 241, minibatch 3296/3296, validation error 14.344262 %
epoch 242, minibatch 3296/3296, validation error 14.685792 %
epoch 243, minibatch 3296/3296, validation error 14.248634 %
epoch 244, minibatch 3296/3296, validation error 14.822404 %
epoch 245, minibatch 3296/3296, validation error 14.262295 %
epoch 246, minibatch 3296/3296, validation error 14.193989 %
epoch 247, minibatch 3296/3296, validation error 14.808743 %
epoch 248, minibatch 3296/3296, validation error 14.016393 %
epoch 249, minibatch 3296/3296, validation error 14.590164 %
epoch 250, minibatch 3296/3296, validation error 14.371585 %
epoch 251, minibatch 3296/3296, validation error 14.672131 %
epoch 252, minibatch 3296/3296, validation error 14.016393 %
epoch 253, minibatch 3296/3296, validation error 14.125683 %
epoch 254, minibatch 3296/3296, validation error 14.234973 %
epoch 255, minibatch 3296/3296, validation error 14.795082 %
epoch 256, minibatch 3296/3296, validation error 14.166667 %
epoch 257, minibatch 3296/3296, validation error 14.139344 %
epoch 258, minibatch 3296/3296, validation error 15.013661 %
epoch 259, minibatch 3296/3296, validation error 13.633880 %
     epoch 259, minibatch 3296/3296, test error of best model 15.280553 %
epoch 260, minibatch 3296/3296, validation error 14.248634 %
epoch 261, minibatch 3296/3296, validation error 14.945355 %
epoch 262, minibatch 3296/3296, validation error 14.139344 %
epoch 263, minibatch 3296/3296, validation error 14.549180 %
epoch 264, minibatch 3296/3296, validation error 14.822404 %
epoch 265, minibatch 3296/3296, validation error 14.289617 %
epoch 266, minibatch 3296/3296, validation error 14.767760 %
epoch 267, minibatch 3296/3296, validation error 14.303279 %
epoch 268, minibatch 3296/3296, validation error 14.549180 %
epoch 269, minibatch 3296/3296, validation error 14.617486 %
epoch 270, minibatch 3296/3296, validation error 15.095628 %
epoch 271, minibatch 3296/3296, validation error 14.412568 %
epoch 272, minibatch 3296/3296, validation error 14.412568 %
epoch 273, minibatch 3296/3296, validation error 14.453552 %
epoch 274, minibatch 3296/3296, validation error 14.576503 %
epoch 275, minibatch 3296/3296, validation error 15.013661 %
epoch 276, minibatch 3296/3296, validation error 14.289617 %
epoch 277, minibatch 3296/3296, validation error 14.385246 %
epoch 278, minibatch 3296/3296, validation error 14.166667 %
epoch 279, minibatch 3296/3296, validation error 14.467213 %
epoch 280, minibatch 3296/3296, validation error 14.726776 %
epoch 281, minibatch 3296/3296, validation error 14.535519 %
epoch 282, minibatch 3296/3296, validation error 14.508197 %
epoch 283, minibatch 3296/3296, validation error 14.016393 %
epoch 284, minibatch 3296/3296, validation error 14.330601 %
epoch 285, minibatch 3296/3296, validation error 14.494536 %
epoch 286, minibatch 3296/3296, validation error 14.207650 %
epoch 287, minibatch 3296/3296, validation error 14.262295 %
epoch 288, minibatch 3296/3296, validation error 14.221311 %
epoch 289, minibatch 3296/3296, validation error 13.893443 %
epoch 290, minibatch 3296/3296, validation error 14.275956 %
epoch 291, minibatch 3296/3296, validation error 13.920765 %
epoch 292, minibatch 3296/3296, validation error 13.907104 %
epoch 293, minibatch 3296/3296, validation error 14.795082 %
epoch 294, minibatch 3296/3296, validation error 14.016393 %
epoch 295, minibatch 3296/3296, validation error 15.218579 %
epoch 296, minibatch 3296/3296, validation error 14.590164 %
epoch 297, minibatch 3296/3296, validation error 15.204918 %
epoch 298, minibatch 3296/3296, validation error 14.576503 %
epoch 299, minibatch 3296/3296, validation error 13.948087 %
epoch 300, minibatch 3296/3296, validation error 14.808743 %
epoch 301, minibatch 3296/3296, validation error 14.275956 %
epoch 302, minibatch 3296/3296, validation error 15.341530 %
